¿Cuál es el ingreso mensual aproximado de tu familia?  ,¿Trabajas actualmente o planeas trabajar mientras estudias?  ,¿Cuentas con equipo de cómputo y conexión a internet estables para estudiar? ,¿Cuántas personas dependen económicamente del ingreso familiar?,¿Tu familia apoya tu decisión de estudiar esta carrera?  ,¿Cuál fue tu promedio general en el bachillerato/preparatoria? ,"¿Cuál es tu nivel en matemáticas (álgebra lineal, cálculo, estadística) ",¿Has llevado cursos de programación o tienes conocimientos previos en tecnología? ,¿Cómo calificas tu hábito de estudio y organización académica? ,¿Has reprobado materias en lo que llevas de tu Licenciatura?,¿Cómo describirías tu estado emocional y manejo del estrés actualmente? ,"¿Cuentas con una red de apoyo (familia, amigos) que te respalde emocionalmente? ",¿Cómo manejas la frustración cuando algo no te sale bien académicamente? ,"¿Tienes responsabilidades de cuidado de otras personas (hijos, familiares, etc.)? ", ¿Cómo describirías tu nivel de motivación y energía en general?  , ¿Por qué elegiste la Licenciatura en Ciencias de Datos para Negocios?  ,¿Qué tan informado/a estás sobre el plan de estudios y campo laboral de esta carrera?  , ¿Qué tan seguro estás de que esta carrera se alinea con tus habilidades e intereses?  ,¿Has considerado estudiar otra carrera además de esta? ,¿Tienes claridad sobre qué quieres hacer profesionalmente después de graduarte? ,  ¿A qué distancia (tiempo de traslado) vives de la universidad?  ,¿Qué horario prefieres o te acomoda más para estudiar? ,"¿Conoces los servicios de apoyo que ofrece la universidad (tutorías, asesorías, apoyo psicológico, becas)? ",¿Qué tan importante es para ti terminar la carrera en el tiempo establecido (8 semestres)? ,"Si tuvieras dificultades académicas durante la carrera, ¿qué tan probable es que busques ayuda?  "
"$10,000 - $20,000 MXN","No trabajo, pero podría si es necesario","Sí, laptop/PC propia y excelente internet",1-2 personas,"Sí, completamente y me apoyan en todo",9.0 - 9.4,Bueno (calificaciones altas consistentemente),"Sí, algunos cursos o conocimiento autodidacta","Bueno, generalmente cumplo con mis responsabilidades",Nunca he reprobado,"Bien, ocasionalmente me estreso pero lo controlo","Sí, tengo apoyo moderado","Regular, me afecta pero eventualmente continúo",No tengo responsabilidades de cuidado,"Bajo, me cuesta motivarme",Me interesa mucho y veo gran futuro profesional,"Bien informado/a, conozco lo general","Poco seguro/a, tengo dudas","No, pero estoy abierto/a a opciones futuras","Sí, tengo una idea general del área",30 minutos a 1 hora,Tengo restricciones importantes de horario por trabajo/familia,"Sí, los conozco y los usaría si los necesito","Poco importante, puedo tomarme más tiempo","Probable, buscaría ayuda después de intentar solo/a"
"Más de $20,000 MXN","Sí, trabajo medio tiempo (menos de 20 hrs/semana)","Equipo limitado pero funcional, internet regular",5 personas,No están completamente de acuerdo,8.5 - 8.9,Regular (apruebo pero me cuesta trabajo),"Sí, algunos cursos o conocimiento autodidacta","Regular, a veces me cuesta organizarme",Reprobé 2 materias,"Regular, el estrés me afecta moderadamente","Sí, pero limitado","Regular, me afecta pero eventualmente continúo",Responsabilidades moderadas,"Moderado, depende del día",Tiene buena demanda laboral y salarios atractivos,Poco informado/a,"Moderadamente seguro/a, creo que sí","No, pero estoy abierto/a a opciones futuras","Algo de claridad, aún lo estoy definiendo",1.5 a 2 horas,Vespertino (me acomoda perfectamente),Conozco pocos o casi ninguno,Moderadamente importante,"Muy probable, buscaría ayuda inmediatamente"
"$10,000 - $20,000 MXN",No trabajo ni planeo trabajar (dedicación exclusiva),"Sí, equipo funcional e internet estable",1-2 personas,"Sí, me apoyan emocionalmente",9.5 - 10.0,Excelente (siempre fueron mi fortaleza),"Sí, algunos cursos o conocimiento autodidacta","Bueno, generalmente cumplo con mis responsabilidades",Nunca he reprobado,"Bien, ocasionalmente me estreso pero lo controlo","Sí, red de apoyo muy fuerte","Muy bien, lo veo como oportunidad de mejora",No tengo responsabilidades de cuidado,"Muy alto, soy muy proactivo/a y energético/a",Es mi verdadera pasión y vocación,"Bien informado/a, conozco lo general","Totalmente seguro/a, es perfecta para mí","No, pero estoy abierto/a a opciones futuras","Sí, tengo una idea general del área",1 a 1.5 horas,Tengo preferencia pero puedo adaptarme,Conozco algunos,"Importante, lo prefiero pero puedo ser flexible","Tal vez, dependiendo de la situación"
"$5,000 - $10,000 MXN","Sí, trabajo medio tiempo (menos de 20 hrs/semana)","Equipo limitado pero funcional, internet regular",5 personas,"Sí, me apoyan emocionalmente",9.0 - 9.4,Regular (apruebo pero me cuesta trabajo),"No, pero me interesa y estoy dispuesto/a a aprender","Regular, a veces me cuesta organizarme",Reprobé 3 materias,"Regular, el estrés me afecta moderadamente","Sí, pero limitado","Mal, me desanimo fácilmente",Responsabilidades mínimas/ocasionales,"Moderado, depende del día",Tiene buena demanda laboral y salarios atractivos,"Bien informado/a, conozco lo general","Poco seguro/a, tengo dudas","Sí, tengo varias opciones y aún no decido","Algo de claridad, aún lo estoy definiendo",1.5 a 2 horas,Cualquier horario me funciona bien,Conozco pocos o casi ninguno,Moderadamente importante,"Tal vez, dependiendo de la situación"
"$5,000 - $10,000 MXN","Sí, trabajo tiempo completo (más de 30 hrs/semana)","Equipo limitado pero funcional, internet regular",6 o más personas,"Sí, me apoyan emocionalmente",8.5 - 8.9,Excelente (siempre fueron mi fortaleza),Solo introducción básica,"Malo, me cuesta mucho mantener constancia",Reprobé 1 materia,"Muy bien, manejo bien las situaciones difíciles","Sí, pero limitado","Muy bien, lo veo como oportunidad de mejora",Responsabilidades moderadas,"Muy bajo, frecuentemente me siento sin energía",Es mi verdadera pasión y vocación,"Bien informado/a, conozco lo general","Moderadamente seguro/a, creo que sí","Sí, tengo varias opciones y aún no decido",No tengo idea de qué haré,Más de 2 horas,Tengo restricciones importantes de horario por trabajo/familia,"Sí, los conozco y los usaría si los necesito","Poco importante, puedo tomarme más tiempo","Poco probable, prefiero resolver las cosas solo/a"
"$3,000 - $5,000 MXN","Sí, trabajo tiempo completo (más de 30 hrs/semana)",Comparto equipo o internet inestable,4 personas,Son neutrales,8.0 - 8.4,Bajo (he reprobado o tenido problemas),Solo introducción básica,"Regular, a veces me cuesta organizarme",Reprobé 2 materias,"Regular, el estrés me afecta moderadamente",Casi no tengo apoyo,"Regular, me afecta pero eventualmente continúo",Responsabilidades importantes que requieren tiempo,"Moderado, depende del día","Por influencia de familia/amigos o porque ""está de moda""","Algo informado/a, tengo idea básica","Poco seguro/a, tengo dudas","Sí, tengo una segunda opción en mente","Algo de claridad, aún lo estoy definiendo",1.5 a 2 horas,Cualquier horario me funciona bien,Conozco pocos o casi ninguno,Moderadamente importante,"Probable, buscaría ayuda después de intentar solo/a"
"$3,000 - $5,000 MXN","Sí, trabajo tiempo completo y tengo otras responsabilidades",Comparto equipo o internet inestable,5 personas,No están completamente de acuerdo,8.0 - 8.4,Bajo (he reprobado o tenido problemas),Solo introducción básica,"Bueno, generalmente cumplo con mis responsabilidades",Reprobé 2 materias,"Regular, el estrés me afecta moderadamente","Sí, tengo apoyo moderado","Mal, me desanimo fácilmente",Responsabilidades mínimas/ocasionales,"Moderado, depende del día",Me interesa mucho y veo gran futuro profesional,Poco informado/a,"Poco seguro/a, tengo dudas","Sí, tengo una segunda opción en mente",No tengo idea de qué haré,1 a 1.5 horas,Tengo preferencia pero puedo adaptarme,Conozco algunos,Moderadamente importante,"Poco probable, prefiero resolver las cosas solo/a"
"$5,000 - $10,000 MXN","Sí, trabajo medio tiempo (menos de 20 hrs/semana)","Equipo limitado pero funcional, internet regular",5 personas,No están completamente de acuerdo,8.5 - 8.9,Regular (apruebo pero me cuesta trabajo),Solo introducción básica,"Irregular, procrastino frecuentemente",Reprobé 2 materias,"Mal, frecuentemente me siento abrumado/a","Sí, pero limitado","Mal, me desanimo fácilmente",Responsabilidades importantes que requieren tiempo,"Moderado, depende del día",Tiene buena demanda laboral y salarios atractivos,Poco informado/a,"Muy seguro/a, coincide bastante","Sí, tengo varias opciones y aún no decido","Algo de claridad, aún lo estoy definiendo",Más de 2 horas,Cualquier horario me funciona bien,Conozco algunos,"Poco importante, puedo tomarme más tiempo","Tal vez, dependiendo de la situación"
"$5,000 - $10,000 MXN","Sí, trabajo medio tiempo (menos de 20 hrs/semana)",Comparto equipo o internet inestable,3 personas,"Sí, me apoyan emocionalmente",9.0 - 9.4,Bajo (he reprobado o tenido problemas),"No, pero me interesa y estoy dispuesto/a a aprender","Malo, me cuesta mucho mantener constancia",Reprobé 2 materias,"Mal, frecuentemente me siento abrumado/a","Sí, tengo apoyo moderado","Bien, me recupero rápido y sigo intentando",Responsabilidades moderadas,"Bajo, me cuesta motivarme",Me interesa mucho y veo gran futuro profesional,"Algo informado/a, tengo idea básica","Moderadamente seguro/a, creo que sí","Sí, tengo varias opciones y aún no decido","Poca claridad, estoy confundido/a",1.5 a 2 horas,Tengo restricciones importantes de horario por trabajo/familia,"Sí, los conozco y los usaría si los necesito",Moderadamente importante,"Tal vez, dependiendo de la situación"
"$3,000 - $5,000 MXN","Sí, trabajo medio tiempo (menos de 20 hrs/semana)",Comparto equipo o internet inestable,5 personas,Son neutrales,8.0 - 8.4,Regular (apruebo pero me cuesta trabajo),Solo introducción básica,"Irregular, procrastino frecuentemente",Reprobé 2 materias,"Regular, el estrés me afecta moderadamente","Sí, pero limitado","Mal, me desanimo fácilmente",Responsabilidades moderadas,"Moderado, depende del día",Tiene buena demanda laboral y salarios atractivos,Poco informado/a,"Moderadamente seguro/a, creo que sí","Sí, tengo varias opciones y aún no decido","Algo de claridad, aún lo estoy definiendo",1 a 1.5 horas,Cualquier horario me funciona bien,Conozco pocos o casi ninguno,"Importante, lo prefiero pero puedo ser flexible","Tal vez, dependiendo de la situación"
"Más de $20,000 MXN","Sí, trabajo medio tiempo (menos de 20 hrs/semana)",Comparto equipo o internet inestable,4 personas,Son neutrales,Menos de 8.0,Bueno (calificaciones altas consistentemente),Solo introducción básica,"Bueno, generalmente cumplo con mis responsabilidades",Nunca he reprobado,"Regular, el estrés me afecta moderadamente","Sí, tengo apoyo moderado","Mal, me desanimo fácilmente",Responsabilidades importantes que requieren tiempo,"Alto, tengo buena motivación","Por influencia de familia/amigos o porque ""está de moda""","Algo informado/a, tengo idea básica","Muy seguro/a, coincide bastante","Sí, tengo varias opciones y aún no decido","Poca claridad, estoy confundido/a",1.5 a 2 horas,Cualquier horario me funciona bien,Conozco pocos o casi ninguno,"No es importante, no tengo prisa","Tal vez, dependiendo de la situación"
"$3,000 - $5,000 MXN","Sí, trabajo tiempo completo y tengo otras responsabilidades",No tengo equipo propio o internet confiable,4 personas,Se oponen o me presionan a trabajar,9.0 - 9.4,Muy bajo (tengo dificultades significativas),"No, y me preocupa aprender programación","Bueno, generalmente cumplo con mis responsabilidades",Reprobé 4 o más materias,"Mal, frecuentemente me siento abrumado/a","Sí, pero limitado","Mal, me desanimo fácilmente",Responsabilidades importantes que requieren tiempo,"Muy bajo, frecuentemente me siento sin energía","Por influencia de familia/amigos o porque ""está de moda""","Nada informado/a, estoy descubriendo la carrera","Poco seguro/a, tengo dudas","No, esta es mi única opción y estoy comprometido/a",No tengo idea de qué haré,Más de 2 horas,Tengo restricciones importantes de horario por trabajo/familia,No conozco ninguno,"No es importante, no tengo prisa","Poco probable, prefiero resolver las cosas solo/a"
